Viewport width,Screen density,Pageviews
1907,1,1
1907,2,1
1913,2,1
1915,2,1
1918,1.5,1
1918,2,1
1920,1.333,1
1920,1.5,1
1921,2,1
1922,2,1
1923,1,1
1923,1.25,1
1925,1,1
1928,2,1
1929,2,1
1933,1,1
1936,2,1
1940,2,1
1942,1,1
1944,1,1
1951,1,1
1953,0.896,1
1953,1,1
1956,1,1
1956,2,1
1958,2,1
1969,1,1
1974,1,1
1976,2,1
1977,1,1
1979,2,1
1980,2,1
1981,1,1
1983,2,1
1984,1,1
1985,1,1
1986,2,1
1989,1,1
1989,2,1
1990,2,1
1996,2,1
2000,0.8,1
2000,1.5,1
2001,1,1
2005,1,1
2005,2,1
2007,2,1
2009,1.5,1
2010,2,1
2012,2,1
2013,1,1
2013,2,1
2015,1,1
2017,1,1
2019,2,1
2021,1,1
2024,1,1
2029,2,1
2030,2,1
2032,1,1
2033,1,1
2034,2,1
2035,2,1
2037,2,1
2038,1.25,1
2039,1,1
2040,1,1
2041,2,1
2042,1,1
2045,1,1
2046,1.25,1
2049,2,1
2050,1,1
2052,2,1
2056,1,1
2056,2,1
2059,1,1
2061,1,1
2065,1,1
2067,1,1
2068,1,1
2070,1,1
2073,2,1
2077,2,1
2078,1,1
2079,2,1
2085,1,1
2088,1,1
2089,1,1
2090,2,1
2094,2,1
2095,1,1
2096,2,1
2097,2,1
2100,1,1
2101,1,1
2105,2,1
2112,1.818,1
2115,2,1
2116,1,1
2117,1,1
2122,1,1
2123,1,1
2128,1,1
2133,1,1
2134,1,1
2134,1.5,1
2135,1,1
2139,1,1
2146,1,1
2149,1,1
2149,2,1
2150,1,1
2151,1,1
2154,1,1
2155,1,1
2158,1,1
2158,2,1
2160,1.5,1
2171,1,1
2173,1.76,1
2175,1,1
2175,2,1
2176,1.765,1
2177,1,1
2186,2,1
2188,1,1
2192,1.75,1
2194,1.75,1
2200,1,1
2201,2,1
2204,1,1
2207,1,1
2210,1,1
2211,2,1
2212,2,1
2213,1,1
2215,1,1
2218,1,1
2221,2,1
2224,1,1
2224,2,1
2228,1,1
2231,2,1
2233,1,1
2236,1,1
2244,1,1
2251,1,1
2252,1,1
2256,1,1
2258,1,1
2259,0.85,1
2269,1,1
2272,1,1
2274,1.1,1
2282,1,1
2285,1,1
2287,1,1
2289,1,1
2290,1,1
2293,1,1
2294,1.5,1
2304,1.25,1
2305,1,1
2308,2,1
